NN;lex_rus;lang;class;lex_nd;first_cons;cons_type_old;cons_type;CL_SG;final_cons;fin_cons_type;POST_SG;first_vowel;vowel_type;lex_rus_sem;compound;semantics_KK;semantics_KK_detailed;;;;;
9;noc;bud;3;meʔel;m;nasal;labial;NA;l;liquid;0;;;;0;body;golova i sheja;;;;;
9;noc;hin;3;k'ɨtɨr;k';plosive.post;plosive.post;NA;;;;;;;0;body;golova i sheja;;;;;
10;kljuv;and;5;mahar;m;nasal;labial;NA;;;;;;=noc;0;body;golova i sheja;;;;;
10;kljuv;cham;3;maj;m;nasal;labial;NA;;;;;;=noc;0;body;golova i sheja;;;;;
10;kljuv;chamg;3;q'ama;q';plosive.post;plosive.post;NA;;;;;;=petushinyj greben';0;body;golova i sheja;;;;;
10;kljuv;inh;5;ma1ʟ'u;m;nasal;labial;NA;;;;;;;0;body;golova i sheja;;;;;
10;kljuv;bezht;3;möʟ'ö;m;nasal;labial;NA;;;;;;;0;body;golova i sheja;;;;;
10;kljuv;bezhh;3;möʟ'ö;m;nasal;labial;NA;;;;;;;0;body;golova i sheja;;;;;
10;kljuv;gunz;3;moʟ'o;m;nasal;labial;NA;;;;;;;0;body;golova i sheja;;;;;
10;kljuv;tsez;3;bu1ʟ'i;b;labial;labial;1;;;;;;;0;body;golova i sheja;;;;;
10;kljuv;gin;2;miʟ'u;m;nasal;labial;NA;;;;;;;0;body;golova i sheja;;;;;
10;kljuv;lak;3;qː1ipːi;qː;plosive.post;plosive.post;NA;;;;;;;0;body;golova i sheja;;;;;
10;kljuv;arch;3;muč;m;nasal;labial;NA;;;;;;=noc;0;body;golova i sheja;;;;;
10;kljuv;rutl;4;k'uxy;k';plosive.post;plosive.post;NA;;;;;;;0;body;golova i sheja;;;;;
10;kljuv;tsah;4;k'uxy;k';plosive.post;plosive.post;NA;;;;;;;0;body;golova i sheja;;;;;
10;kljuv;tsahg;3;bok';b;labial;labial;1;;;;;;=guba;0;body;golova i sheja;;;;;
10;kljuv;tsahc;4;k'uxy;k';plosive.post;plosive.post;NA;;;;;;;0;body;golova i sheja;;;;;
